subject_id,emotion,recall,support
sub01,disgust,0.0,2
sub01,happiness,0.0,1
sub01,repression,,0
sub01,surprise,,0
sub02,disgust,,0
sub02,happiness,0.0,1
sub02,repression,0.6,5
sub02,surprise,0.6666666666666666,3
sub03,disgust,0.5,4
sub03,happiness,,0
sub03,repression,,0
sub03,surprise,1.0,1
sub04,disgust,1.0,3
sub04,happiness,,0
sub04,repression,,0
sub04,surprise,,0
sub05,disgust,1.0,1
sub05,happiness,0.0,1
sub05,repression,,0
sub05,surprise,0.8,5
sub06,disgust,0.0,1
sub06,happiness,0.0,1
sub06,repression,,0
sub06,surprise,0.0,2
sub07,disgust,0.2,5
sub07,happiness,,0
sub07,repression,,0
sub07,surprise,,0
sub08,disgust,,0
sub08,happiness,,0
sub08,repression,0.0,1
sub08,surprise,,0
sub09,disgust,,0
sub09,happiness,0.6,5
sub09,repression,0.0,5
sub09,surprise,,0
sub11,disgust,0.0,4
sub11,happiness,,0
sub11,repression,,0
sub11,surprise,,0
sub12,disgust,0.6,5
sub12,happiness,0.0,2
sub12,repression,,0
sub12,surprise,1.0,4
sub13,disgust,,0
sub13,happiness,0.0,2
sub13,repression,,0
sub13,surprise,,0
sub14,disgust,,0
sub14,happiness,0.0,3
sub14,repression,,0
sub14,surprise,,0
sub15,disgust,1.0,1
sub15,happiness,1.0,1
sub15,repression,,0
sub15,surprise,0.0,1
sub16,disgust,,0
sub16,happiness,1.0,2
sub16,repression,0.0,1
sub16,surprise,,0
sub17,disgust,0.0,14
sub17,happiness,0.6666666666666666,6
sub17,repression,0.9,10
sub17,surprise,1.0,1
sub19,disgust,0.6666666666666666,3
sub19,happiness,0.6666666666666666,3
sub19,repression,,0
sub19,surprise,0.0,5
sub20,disgust,0.0,2
sub20,happiness,,0
sub20,repression,,0
sub20,surprise,,0
sub21,disgust,,0
sub21,happiness,,0
sub21,repression,1.0,1
sub21,surprise,,0
sub22,disgust,,0
sub22,happiness,,0
sub22,repression,0.0,2
sub22,surprise,,0
sub23,disgust,1.0,4
sub23,happiness,0.0,1
sub23,repression,0.3333333333333333,3
sub23,surprise,,0
sub24,disgust,0.0,2
sub24,happiness,,0
sub24,repression,,0
sub24,surprise,0.0,1
sub25,disgust,0.3333333333333333,3
sub25,happiness,,0
sub25,repression,,0
sub25,surprise,0.5,2
sub26,disgust,0.7777777777777778,9
sub26,happiness,1.0,2
sub26,repression,,0
sub26,surprise,,0
