subject_id,emotion,recall,support
sub01,disgust,1.0,1
sub01,happiness,,0
sub01,repression,,0
sub01,surprise,,0
sub04,disgust,1.0,2
sub04,happiness,,0
sub04,repression,,0
sub04,surprise,,0
sub11,disgust,1.0,1
sub11,happiness,,0
sub11,repression,,0
sub11,surprise,,0
sub14,disgust,,0
sub14,happiness,0.0,1
sub14,repression,,0
sub14,surprise,,0
sub17,disgust,,0
sub17,happiness,0.0,1
sub17,repression,,0
sub17,surprise,,0
sub19,disgust,,0
sub19,happiness,,0
sub19,repression,,0
sub19,surprise,0.0,1
sub23,disgust,,0
sub23,happiness,,0
sub23,repression,0.0,1
sub23,surprise,,0
