subject_id,best_val_uar,test_uar,train_samples,test_samples
1,46.666666666666664,25.0,125,2
2,53.333333333333336,10.0,125,9
3,53.333333333333336,58.333333333333336,129,5
4,53.333333333333336,16.666666666666664,131,3
5,35.714285714285715,0.0,131,7
6,25.0,25.0,134,4
7,32.14285714285714,6.666666666666667,133,5
8,28.57142857142857,0.0,137,1
9,61.904761904761905,0.0,128,10
11,32.14285714285714,25.0,134,4
12,57.14285714285715,28.749999999999996,127,11
13,35.714285714285715,25.0,136,2
14,39.285714285714285,33.33333333333333,135,3
15,42.857142857142854,66.66666666666666,135,3
16,42.857142857142854,0.0,135,3
17,50.0,25.0,107,31
19,47.61904761904762,16.666666666666664,127,11
20,71.42857142857143,0.0,136,2
21,50.0,0.0,137,1
22,52.38095238095239,25.0,136,2
23,47.61904761904762,12.5,130,8
24,25.925925925925924,50.0,130,3
25,22.22222222222222,50.0,128,5
26,44.44444444444444,3.7037037037037033,122,11
